IDNum,a,b,c,d,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10
859635,Comedy,Crime,Mystery,2018,Rob Lowe,Brian Cox,NA,NA,NA,NA,NA,NA,NA,NA
862748,Action,Adventure,Comedy,2014,Shun Oguri,Tetsuji Tamayama,G Ayano,Jerry Yan,NA,NA,NA,NA,NA,NA
864835,Adventure,Animation,Comedy,2014,Max Charles,Ty Burrell,Stephen Colbert,NA,NA,NA,NA,NA,NA,NA
874268,Drama,Thriller,2017,NA,Steven Berkoff,David Arrow,NA,NA,NA,NA,NA,NA,NA,NA
884732,Comedy,2015,NA,NA,Josh Gad,Affion Crockett,Kevin Hart,NA,NA,NA,NA,NA,NA,NA
892062,Animation,Comedy,Fantasy,2014,Andrew Swant,Robert Richard Jorge,Bobby Ciraldo,Dustin Diamond,NA,NA,NA,NA,NA,NA
900387,Drama,Romance,War,2014,Eric Godon,NA,NA,NA,NA,NA,NA,NA,NA,NA
903657,Biography,Drama,Music,2014,Paul Giamatti,Paul Dano,John Cusack,NA,NA,NA,NA,NA,NA,NA
906327,Comedy,2016,NA,NA,Rob G. Kahn,William Forsythe,Matthew Ashford,NA,NA,NA,NA,NA,NA,NA
910885,Comedy,2014,NA,NA,Joel McHale,Oliver Platt,Clark Duke,NA,NA,NA,NA,NA,NA,NA
918520,Drama,Thriller,2016,NA,Andrew Alexander,Dean Allum,NA,NA,NA,NA,NA,NA,NA,NA
918940,Action,Adventure,Drama,2016,Rory J. Saper,Christian Stevens,Alexander Skarsgrd,Christoph Waltz,NA,NA,NA,NA,NA,NA
920462,Drama,Thriller,2018,NA,Peter Mark Kendall,NA,NA,NA,NA,NA,NA,NA,NA,NA
926132,Action,Adventure,Thriller,2016,Chris Blasman,Michael Buffo,Sean Gray,NA,NA,NA,NA,NA,NA,NA
932667,Drama,2016,NA,NA,Brandon Ratcliff,Ernie Hudson,NA,NA,NA,NA,NA,NA,NA,NA
937225,Comedy,2017,NA,NA,John Ducey,John Bobek,Greg Lindsay,NA,NA,NA,NA,NA,NA,NA
949872,Drama,2014,NA,NA,Caspar Zafer,James Oliver Wheatley,Donald Standen,NA,NA,NA,NA,NA,NA,NA
959306,Drama,2014,NA,NA,Thomas Jane,Kevin Connolly,NA,NA,NA,NA,NA,NA,NA,NA
961036,Drama,2014,NA,NA,Michael Vincent Carrera,Chris Benton,Aaron Aguilera,Mark Arnold,NA,NA,NA,NA,NA,NA
974015,Action,Adventure,Fantasy,2017,Jason Momoa,Ezra Miller,Ben Affleck,NA,NA,NA,NA,NA,NA,NA
977643,Drama,Musical,Romance,2015,Sudhanshu Pandey,Vinod Khanna,Vikas Bhalla,Mohnish Bahl,NA,NA,NA,NA,NA,NA
995868,Biography,Drama,Sport,2016,Vincent D'Onofrio,Rodrigo Santoro,Diego Boneta,Seu Jorge,NA,NA,NA,NA,NA,NA
996664,Comedy,2014,NA,NA,Brian Thompson,Ian Patrick Williams,NA,NA,NA,NA,NA,NA,NA,NA
996976,Animation,2014,NA,NA,Eddie Griffin,Ernest Thomas,Daniel Curtis Lee,NA,NA,NA,NA,NA,NA,NA
1002563,Drama,Fantasy,2016,NA,Sean Bean,Vincent Walsh,Adam Greaves Neal,NA,NA,NA,NA,NA,NA,NA
1014763,Crime,Drama,Thriller,2015,Gary Oldman,Joel Kinnaman,Tom Hardy,NA,NA,NA,NA,NA,NA,NA
1014794,Comedy,2014,NA,NA,Robert W. Boelio,Mark Bate,Rich Bianco,NA,NA,NA,NA,NA,NA,NA
1018765,Comedy,Drama,2015,NA,Joaquim de Almeida,Anthony Mackie,Billy Bob Thornton,NA,NA,NA,NA,NA,NA,NA
1020072,Biography,Drama,History,2014,Tim Roth,David Oyelowo,NA,NA,NA,NA,NA,NA,NA,NA
1020982,Comedy,2014,NA,NA,Matthew Kevin Anderson,Scott Deckert,NA,NA,NA,NA,NA,NA,NA,NA
1022871,Thriller,2015,NA,NA,Nick Fenske,Tom Hart,Michael Sorensen,John Douglas Ayers,NA,NA,NA,NA,NA,NA
1024855,Action,Thriller,2017,NA,Mem Ferda,Nick Moran,Craig Fairbrass,James Cosmo,NA,NA,NA,NA,NA,NA
1024863,Action,Drama,Western,2018,Thadd Turner,Ryan Merriman,Tommy Dippel,Buck Taylor,NA,NA,NA,NA,NA,NA
1029360,Horror,Thriller,2015,NA,Sam Rockwell,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031658,Drama,2014,NA,NA,Matthew Gray Gubler,Brendan Sexton III,Stevie Long,NA,NA,NA,NA,NA,NA,NA
1034385,Adventure,Horror,Sci-Fi,2017,Winslow M. Iwaki,Ray Stevenson,David Oakes,NA,NA,NA,NA,NA,NA,NA
1043726,Action,Adventure,Fantasy,2014,Scott Adkins,Kellan Lutz,NA,NA,NA,NA,NA,NA,NA,NA
1043836,Action,Adventure,Drama,2018,Liam James,Jim Byrnes,NA,NA,NA,NA,NA,NA,NA,NA
1051229,Drama,2017,NA,NA,Rolando Millet,Michael Addison,Nayan Raina,Leo Vargas,NA,NA,NA,NA,NA,NA
1051904,Adventure,Comedy,Family,2015,Ryan Lee,Jack Black,Dylan Minnette,NA,NA,NA,NA,NA,NA,NA
1065073,Drama,2014,NA,NA,Ellar Coltrane,Elijah Smith,Ethan Hawke,NA,NA,NA,NA,NA,NA,NA
1072748,Biography,Fantasy,Horror,2018,Finn Scicluna O'Prey,Jason Clarke,NA,NA,NA,NA,NA,NA,NA,NA
1078896,Horror,Thriller,2016,NA,Roberto 'Sanz' Sanchez,Kent Victor Schuelke,NA,NA,NA,NA,NA,NA,NA,NA
1082807,Action,Horror,Thriller,2016,Tony Goldwyn,John Gallagher Jr.,John C. McGinley,NA,NA,NA,NA,NA,NA,NA
1083452,Biography,Comedy,Drama,2016,Tom Costello,Taron Egerton,Hugh Jackman,NA,NA,NA,NA,NA,NA,NA
1084958,Action,Drama,Fantasy,2017,Max Ryan,Martin Klebba,Steven Berkoff,Ralf Moeller,NA,NA,NA,NA,NA,NA
1085492,Action,Thriller,2014,NA,Jason Patric,John Cusack,Bruce Willis,NA,NA,NA,NA,NA,NA,NA
1086772,Comedy,Romance,2014,NA,Kevin Nealon,Adam Sandler,NA,NA,NA,NA,NA,NA,NA,NA
1090693,Comedy,Drama,2015,NA,Alex Barbatsis,Wes Tank,NA,NA,NA,NA,NA,NA,NA,NA
1091212,Crime,Drama,2016,NA,Gianmarco Tognazzi,Luca Lionello,Luigi Maria Burruano,Stephen Badalamenti,NA,NA,NA,NA,NA,NA
1096999,Documentary,2014,NA,NA,Dante E. Clark,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099209,Drama,2018,NA,NA,Monte Markham,Franco Nero,NA,NA,NA,NA,NA,NA,NA,NA
1100089,Biography,Drama,Sport,2014,Mark Ruffalo,Steve Carell,Channing Tatum,NA,NA,NA,NA,NA,NA,NA
1103274,Drama,2014,NA,NA,R. Keith Harris,Burgess Jenkins,Brad Yoder,NA,NA,NA,NA,NA,NA,NA
1105355,Comedy,Drama,Family,2015,Anjul Nigam,Jason Lee,NA,NA,NA,NA,NA,NA,NA,NA
1107262,Crime,Drama,Thriller,2017,Seth Peterson,Eric Roberts,Michael Mili,Brett Rice,NA,NA,NA,NA,NA,NA
1109624,Adventure,Animation,Comedy,2014,Jim Broadbent,Hugh Bonneville,NA,NA,NA,NA,NA,NA,NA,NA
1114732,Thriller,2015,NA,NA,Giorgio Lupano,Vincenzo Amato,NA,NA,NA,NA,NA,NA,NA,NA
1121096,Action,Adventure,Fantasy,2014,Ben Barnes,Jeff Bridges,NA,NA,NA,NA,NA,NA,NA,NA
1124037,Action,Biography,Drama,2016,Matthew McConaughey,Mahershala Ali,NA,NA,NA,NA,NA,NA,NA,NA
1125931,Comedy,Drama,2015,NA,John Amos,NA,NA,NA,NA,NA,NA,NA,NA,NA
1126590,Biography,Crime,Drama,2014,Christoph Waltz,Danny Huston,NA,NA,NA,NA,NA,NA,NA,NA
1131724,Thriller,2017,NA,NA,Sam Reid,Michiel Huisman,NA,NA,NA,NA,NA,NA,NA,NA
1131728,Comedy,Musical,Romance,2017,Utkarsh Ambudkar,Saahil Sehgal,Scott Bakula,NA,NA,NA,NA,NA,NA,NA
1133511,Drama,2014,NA,NA,John Savage,Rade Serbedzija,NA,NA,NA,NA,NA,NA,NA,NA
1134666,Animation,2014,NA,NA,Joey D. Vieira,R. Martin Klein,NA,NA,NA,NA,NA,NA,NA,NA
1135989,Biography,Drama,Mystery,2015,Amir Tessler,Moni Moshonov,Gilad Kahana,NA,NA,NA,NA,NA,NA,NA
1136822,Action,Comedy,Romance,2016,Eric Roberts,Sala Baker,NA,NA,NA,NA,NA,NA,NA,NA
1137450,Action,Crime,Drama,2018,Bruce Willis,Vincent D'Onofrio,NA,NA,NA,NA,NA,NA,NA,NA
1137470,Comedy,Romance,2015,NA,Raymond L. Brown Jr.,NA,NA,NA,NA,NA,NA,NA,NA,NA
1139592,Horror,Mystery,Thriller,2017,Brandon Smith,Stan Shaw,NA,NA,NA,NA,NA,NA,NA,NA
1141637,Action,Drama,Thriller,2017,James Moses Black,Max Ryan,NA,NA,NA,NA,NA,NA,NA,NA
1141702,Drama,2014,NA,NA,Peter Vack,NA,NA,NA,NA,NA,NA,NA,NA,NA
1142985,Comedy,Drama,2016,NA,Jeff Kober,Michael Piccirilli,Jackson Davis,NA,NA,NA,NA,NA,NA,NA
1146918,Comedy,2018,NA,NA,Jesse Barksdale,John Jordan Anderson,John J. Anderson,NA,NA,NA,NA,NA,NA,NA
1147681,Drama,Mystery,2014,NA,John Doman,Pablo Schreiber,NA,NA,NA,NA,NA,NA,NA,NA
1148205,Biography,Drama,Sport,2016,Tom Sizemore,Paul Sorvino,Joe Mantegna,William Forsythe,NA,NA,NA,NA,NA,NA
1151925,Family,2015,NA,NA,Kadeem Hardison,NA,NA,NA,NA,NA,NA,NA,NA,NA
1161457,Action,Adventure,Sci-Fi,2016,Michael Fallon,Dave Vescio,Daz Crawford,Ben Seton,Gil Navarra,Jesse Wang,NA,NA,NA,NA
1167611,Crime,Drama,2015,NA,Alessandro Borghi,Luca Marinelli,NA,NA,NA,NA,NA,NA,NA,NA
1170380,Crime,Sport,Thriller,2014,Shawn Dou,Kim Junho,Ashton Chen,NA,NA,NA,NA,NA,NA,NA
1172049,Comedy,Drama,2015,NA,Judah Lewis,Chris Cooper,Jake Gyllenhaal,NA,NA,NA,NA,NA,NA,NA
1178665,Adventure,Biography,Comedy,2015,Robert Redford,Nick Nolte,NA,NA,NA,NA,NA,NA,NA,NA
1179031,Crime,Thriller,2014,NA,Sam Shepard,Don Johnson,Michael C. Hall,NA,NA,NA,NA,NA,NA,NA
1179933,Drama,Horror,Mystery,2016,Douglas M. Griffin,John Goodman,John Gallagher Jr.,NA,NA,NA,NA,NA,NA,NA
1180316,Comedy,Drama,2014,NA,Pter Rudolf,Balzs Galk,Nicolas Sipek,NA,NA,NA,NA,NA,NA,NA
1183352,Adventure,Animation,2017,NA,Damin Alczar,Hctor Bonilla,Silverio Palacios,NA,NA,NA,NA,NA,NA,NA
1183374,Horror,Thriller,2016,NA,Dominic Monaghan,Da'Vone McDonald,NA,NA,NA,NA,NA,NA,NA,NA
1188982,Action,Drama,2014,NA,Danny Denzongpa,Salman Khan,NA,NA,NA,NA,NA,NA,NA,NA
1193621,Comedy,2015,NA,NA,Nick Leonti,Aaron Daley,NA,NA,NA,NA,NA,NA,NA,NA
1194627,Documentary,History,Music,2015,William Green Jr.,Mr. Freeze,Don Campbell,Paul Guzman Sanchez,NA,NA,NA,NA,NA,NA
1196939,Drama,Fantasy,Mystery,2015,David J. Keogh,Darren Darnborough,Chris Rankin,NA,NA,NA,NA,NA,NA,NA
1198156,Drama,2014,NA,NA,Josh Duhamel,NA,NA,NA,NA,NA,NA,NA,NA,NA
